nome,sku,quantidade,total,porcentagem_das_vendas
"Limão taiti 12 un Normal",3EFDC7OPNZ,9,179.1,0.14
"Figo cristalizado 300 g",KAU7XK5AH7,9,259.2,0.21
"Alface lisa - 1 Unidade",H5A5WVOFDB,9,71.91,0.06
"Cebola roxa 300 g",MHL396DDT6,9,67.5,0.05
"Beringela 500 g",23YV42Y1K9,9,89.91,0.07
"Mix de castanha luxo (castanha do pará, nozes, amêndoa, uva passa preta e castanha de caju)   300g",FEWJ8YU34I,9,384.75,0.31
"Alho roxo - 500 gramas",AXD9AW2KAD,9,303.75,0.24
"Morango hidropônico",QX72E4HYMN,9,269.91,0.22
"Morango Hidroponico 500g Maduro",A1YT3GGQEA,8,399.92,0.32
"Brócolis comum 1 un",MGGKZ9S7X4,8,175.92,0.14
"Maracujá doce importado granadilla 1kg Normal",QU4B1LQ6S7,8,959.28,0.77
"Pitaia amarelo Colômbia 300g Normal",GQ1ILPB8PQ,8,359.92,0.29
"Azeitona Verde com Alho 300 g",B5UO96MRCF,8,376.32,0.3
"Uva Vitória  - 1 Bandeja (500g)",RNC1RG9UYA,8,189.92,0.15
"Uva Pilar moscato  - 1Kg",8KHTUMM7SE,8,1079.74,0.87
"Roma Importada - 500g",OZPJOC3GMX,8,359.6,0.29
"Uva Thompson 1 Kg Normal",R5W7TRE6YN,8,415.84,0.33
"Castanha de caju SL W1 torrada e salgada   300g",BM8AJJ2P01,8,396,0.32
"Tiras de laranja cristalizada   300g",QYXGFI92O8,8,216,0.17
"Mamão Formosa 1 un Normal",8HXTGQ67L4,7,174.93,0.14
"Atemoia 500g Maduro",CBKL2I3F1G,7,284.8,0.23
"Alho roxo 300 g",BI1OU7UKC1,7,141.75,0.11
"Azeitona grega kalamata   300g",BUZ9F49DB8,7,283.5,0.23
"Azeitona italiana   300g",2GF3MXAPBH,7,141.75,0.11
"Figo cristalizado 500 g",F5AQ81R1IJ,7,336,0.27
"Manga Palmer 500g Maduro",AQY18XYBY4,7,181.93,0.15
"Maracujá azedo graúdo - 3UN",24LXA1B1AE,7,181.93,0.15
"Abacaxi perola 2 un Normal",EW6HZ9KOGF,7,279.3,0.22
"Limão siciliano - 500gr",K9W57NW4RS,7,111.93,0.09
"Vagem  - 500 gramas",ENCIV7S553,7,104.93,0.08
"Atemoia 300g Normal",CNR7PVJGSV,7,147,0.12
"Cenoura 300 g",6Z71EEO90F,7,54.53,0.04
"Jabuticaba 500g Normal",IYK7B8LV9P,7,349.3,0.28
"Alface americana 1 un",2ZFL1QJDWU,7,69.93,0.06
"Abobrinha 500 g",92WWRRD3X1,7,69.93,0.06
"Mix de frutas desidratadas 300 g",RDP04ASMEW,7,285.6,0.23
"Cenoura 500 g",NQDQZY45HL,7,90.93,0.07
"Pimentão Verde  - 500 gramas",JHUGIWK0OJ,7,104.93,0.08
"Uva Vitória 300g Normal",AOPAX38CV6,6,107.94,0.09
"Banana nanica 12 un Normal",OWDDC8ZHDL,6,191.4,0.15
"Amendoim torrado com pele e com sal   300g",JWUXBO6TE2,6,81,0.07
"Couve manteiga 1 un",D6Q3FUN7LV,6,60,0.05
"Pêssego Fresco Premium 300g Normal",24UJ6PQB8L,6,179.76,0.14
"Ameixa sem caroço   300g",F367T3MRKO,6,132.3,0.11
"Maracujá silvestre - 1 Bandeja (500g)",7IJ2EI6HWZ,6,372.49,0.3
"Abobrinha 300 g",D846VOHRDX,6,35.94,0.03
"Abacaxi cristalizado   300g",JOWJSLHA8V,6,162,0.13
"Bandeja de Lichia 500g Normal",OXUV2C1I1C,6,149.94,0.12
